               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070547,            0.055988,                   0,           0.0011272,            0.033051,          0.00061717,          0.00013948,            0.057624,            0.088871,                   0,           0.0033286,           0.0033286,            0.070043
                   1,            0.066219,            0.052694,                   0,          0.00083679,          0.00031328,          0.00019071,          3.1928e-05,            0.057857,            0.087544,                   0,           0.0062872,           0.0062872,            0.039668
                   2,            0.066285,            0.051866,                   0,            0.035449,          0.00078321,           0.0064319,           0.0011889,              0.0558,            0.088388,                   0,           0.0088708,           0.0088708,           0.0089181
                   3,            0.064173,            0.050996,                   0,           0.0046043,            0.034305,           0.0013051,           0.0003081,            0.057166,            0.085715,                   0,           0.0083125,           0.0083125,           0.0083125
                   4,            0.064383,            0.049633,                   0,           0.0048013,             0.38377,           0.0073368,           0.0019234,            0.053835,             0.08654,                   0,           0.0083125,           0.0083125,           0.0083125
                   5,            0.063615,            0.050829,                   0,           0.0035472,             0.32018,           0.0049825,           0.0011909,            0.054541,            0.085656,                   0,             0.00775,             0.00775,             0.00775
                   6,            0.063253,            0.051533,                   0,            0.010332,            0.071585,           0.0033724,          0.00092176,             0.05375,            0.086111,                   0,           0.0071875,           0.0071875,           0.0071875
                   7,                 nan,                 nan,                   0,            0.016381,            0.039787,           0.0054839,           0.0016416,            0.058187,            0.088177,                   0,            0.006625,            0.006625,            0.006625
                   8,            0.063531,            0.052564,                   0,             0.01234,            0.069392,           0.0045051,           0.0013964,             0.05264,            0.086491,                   0,           0.0060625,           0.0060625,           0.0060625
                   9,            0.062242,            0.054764,                   0,            0.011819,            0.036497,           0.0051488,           0.0015209,            0.052397,            0.088186,                   0,              0.0055,              0.0055,              0.0055
                  10,             0.06058,            0.051958,                   0,            0.025704,            0.083177,           0.0099186,           0.0027511,            0.050373,             0.08581,                   0,           0.0049375,           0.0049375,           0.0049375
                  11,            0.060251,            0.053677,                   0,            0.021655,             0.10385,            0.008553,           0.0028475,            0.047912,            0.089108,                   0,            0.004375,            0.004375,            0.004375
                  12,            0.058397,            0.052435,                   0,            0.047385,            0.092105,            0.014425,            0.004765,            0.048649,            0.085431,                   0,           0.0038125,           0.0038125,           0.0038125
                  13,            0.058329,            0.052055,                   0,            0.033449,            0.095081,            0.012579,           0.0037731,             0.04885,            0.084084,                   0,             0.00325,             0.00325,             0.00325
                  14,            0.057861,            0.052597,                   0,            0.021379,            0.088189,           0.0091803,           0.0028915,            0.047884,            0.087057,                   0,           0.0026875,           0.0026875,           0.0026875
                  15,               0.057,            0.052335,                   0,             0.03955,            0.097901,            0.015064,           0.0047523,            0.047022,            0.087126,                   0,            0.002125,            0.002125,            0.002125
